Id,Title,Acteur1,Acteur2,Actrice1,Actrice2,Realisateur,NbEntree,Type,NoteActeur1,NoteActeur2,NoteActrice1,NoteActrice2,NoteRealisateur,
1,Fast & Furious: Hobbs&Shaw,Dwayne Johnson,Jason Statham,Helen Mirren,Vanessa Kirby,David Leitch,2343943,2,0.7515336,0.5359831,0.8827905,0.8258507,0.7403026,
2,The Dark Knight Rises,Christian Bale,Tom Hardy,Marion Cotillard,Anne Hathaway,Christopher Nolan,4370655,2,1.0,1.0,0.6868042,0.6301275,1.0,
3,X-men: Dark Phoenix,James McAvoy,Michael Fassbender,Jennifer Lawrence,Jessica Chastain,Brad Bird,1360369,1,0.5672976,0.8052278,0.671252,0.4724328,1.0,
4,Thor: Ragnarok,Tom Hiddleston,Idris Elba,Cate Blanchett,Tessa Thompson,Brad Bird,2389954,2,1.0,0.6861668,0.8437258,1.0,1.0,
5,Hunger Games- La R̩volte 2,Woody Harrelson,Donald Shutherland,Jennifer Lawrence,Elizabeth Banks,Brad Bird,2629861,2,0.7305111,0.9552684,0.671252,0.4391454,1.0,
6,Fast & Furious 8,Vin Diesel,Dwayne Johnson,Michelle Rodriguez,Charlize Theron,David Leitch,3698165,2,1.0,0.7515336,1.0,0.2962373,0.7403026,
7,Justice League,Ben Affleck,Henry Cavill,Gal Gadot,Amy Adams,David Leitch,1634585,1,0.5553992,0.8212824,1.0,0.6192576,0.7403026,
8,KINGSMAN : LE CERCLE D'OR,Taron Egerton,Jeff Bridges,Julianne Moore,Halle Berry,Guillermo DelToro,1442405,1,0.6283652,0.3052921,0.9314383,0.6893518,0.3155738,
9,Cloud Atlas,Tom Hanks,Hugo Weaving,Halle Berry,Doona Bae,Lilly Wachowski,385266,1,0.6451771,0.893321,0.6893518,0.1995953,0.5515018,
10,Jupiter: Le Destin de l'Univers,Channing Tatum,Sean Bean,Mila Kunis,Doona Bae,Lilly Wachowski,617278,1,0.3125738,0.5006019,0.3042366,0.1995953,0.5515018,
11,Ave C̩sar!,Heath Ledger,George Clooney,Amber Heard,Jessica Chastain,Ivan Reitman,536275,1,0.5385453,0.3144621,0.647202,0.4724328,0.2561469,
12,007 Spectre,Daniel Craig,Christoph Waltz,Lea Seydoux,Monica Bellucci,Sam Mendes,4898921,2,1.0,0.7334069,0.9756272,0.8392645,1.0,
13,Interstellar,Matt Damon,Michael Caine,Anne Hathaway,Jessica Chastain,Christopher Nolan,2454339,2,0.4276462,0.3786565,0.6301275,0.4724328,1.0,
